id;english;dutch
NEZQ8j9J;A Level/Higher or Equivalent;Certificaat
45Z6QjOB;Bachelor's Degree;HBO
0rnawZ8b;HND/HNC or equivalent;Propedeuse
BXnGVL2o;Master's Degree;WO
J0nz0ZVQ;Professional;Professional
4BL3Dn1P;Secondary School or equivalent;Middelbare school of vergelijkbare opleiding
pRnmrjgl;Some College Coursework Completed;Enkele colleges gevolgd
xKLkbZW1;Some Secondary School Coursework;Lager onderwijs
OWZ8MLN2;Vocational;MBO
