id;english;dutch
dpjdEZ3R;Full-time;Fulltime
9enVbnWM;Part-time;Parttime
XrnYwZpB;Per Day;Per dag
vrLORZ0E;Permanent;Vast dienstverband
a7jK4Zxb;Placement Student;Stage
ronMxLVz;Seasonal;Seizoenswerk
9NZqYZ3Q;Temporary/Contract/Project;Tijdelijk / Projectbasis
