id;english;dutch
eDjXOn7G;Entry Level;Startfunctie (weinig ervaring)
vRnpPny1;Executive (Director, Department Head);Senior Management
GkLe1Lp5;Experienced (Non-Manager);Midcareer (ervaren)
0zjrvjYW;Manager (Manager/Supervisor of Staff);Management (Manager/Leidinggevende)
aEnoaZW7;Senior Executive (Chairman, MD, CEO);Directie
4aL7mj61;Student (Higher education/Graduate);Student
wXL9Oj4K;None of these;Geen van dezen
